City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
216,Catamarca,AR,2020-04-19 20:00:30,-28.47,-65.79,84.99,54,0,1.99,clear sky,0.0,0.0
217,Veraval,IN,2020-04-19 20:00:30,20.9,70.37,80.22,57,2,11.59,clear sky,0.0,0.0
218,Saskylakh,RU,2020-04-19 20:00:31,71.92,114.08,12.06,94,0,3.33,clear sky,0.0,0.0
219,Canavieiras,BR,2020-04-19 20:00:31,-15.68,-38.95,74.73,92,96,11.03,light rain,2.95,0.0
220,Geraldton,AU,2020-04-19 19:57:22,-28.77,114.6,55.4,93,0,9.17,clear sky,0.0,0.0
221,Rincon,US,2020-04-19 20:00:32,32.3,-81.24,60.8,87,90,17.22,thunderstorm,0.0,0.0
222,Kovylkino,RU,2020-04-19 20:00:32,54.04,43.91,39.31,70,99,4.61,overcast clouds,0.0,0.0
223,Lake Charles,US,2020-04-19 19:56:20,30.21,-93.2,82.4,83,90,13.87,overcast clouds,0.0,0.0
224,Upernavik,GL,2020-04-19 20:00:32,72.79,-56.15,23.95,88,100,18.52,overcast clouds,0.0,0.0
225,Kirovsk,UA,2020-04-19 20:00:33,48.64,38.64,45.73,73,98,3.58,light rain,0.17,0.0
226,Esperance,AU,2020-04-19 20:00:33,-33.87,121.9,51.8,87,0,5.82,clear sky,0.0,0.0
227,Kahului,US,2020-04-19 20:00:33,20.89,-156.47,77.0,61,20,6.93,few clouds,0.0,0.0
228,Chumikan,RU,2020-04-19 20:00:33,54.72,135.31,21.58,95,100,11.05,snow,0.0,1.84
229,Mildura,AU,2020-04-19 20:00:33,-34.2,142.15,68.0,32,100,13.87,overcast clouds,0.0,0.0
